Annotation,Begin_end,M003,M002,M007,M004,M005,M018,M019,M015,M016,M020,M017,M009,M013,M031,M021,M012,M014,M008,M006,M030,M010,M026,M022,M028,M027,M029,M023,M025,M001,M024,M011,D001,D002,c,ENTERHOME,Duration,Start_Date,End_Date,Start_Time,End_Time,season,weekday,preact,nextact,shift_1
Meal_Preparation,,,,,,,11,27,12,2,3,5,,,,1,,8,,,,,,,,,,,,,,,,,,,3,04-11-2010,04-11-2010,15:23:00,15:25:34,winter,Thursday,Relax,Eating,afternoon
Eating,,,,,,,1,1,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,3,04-11-2010,04-11-2010,15:25:35,15:28:43,winter,Thursday,Meal_Preparation,Work,afternoon
Work,,,,,,,,,,,,,,,,,,,,,,,49,1,2,14,,,,,,,,,,,23,04-11-2010,04-11-2010,15:47:48,16:10:34,winter,Thursday,Eating,Relax,afternoon
Relax,,,,,,,,,,,4,,31,2,,,,,,,,,,,,,,,,,,,,,,,6,04-11-2010,04-11-2010,16:15:57,16:21:58,winter,Thursday,Work,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,21,55,60,12,5,32,,1,,1,,11,,,,,,4,2,,2,,,,,,,,,,9,04-11-2010,04-11-2010,16:22:00,16:31:27,winter,Thursday,Relax,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,3,12,10,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,04-11-2010,04-11-2010,16:32:53,16:34:14,winter,Thursday,Meal_Preparation,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,39,246,222,36,1,38,,,,,,1,,,,,,,,,,,,,,,,,,,30,04-11-2010,04-11-2010,16:36:10,17:06:00,winter,Thursday,Meal_Preparation,Relax,Late afternoon
Relax,,,,,,,,,,,2,,4,1,,,6,,,,,173,,,,,,,,,,,,,,,21,04-11-2010,04-11-2010,17:06:22,17:27:12,winter,Thursday,Meal_Preparation,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,7,4,8,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,04-11-2010,04-11-2010,17:27:14,17:27:55,winter,Thursday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,5,04-11-2010,04-11-2010,17:28:27,17:33:55,winter,Thursday,Meal_Preparation,Eating,Late afternoon
Eating,,,,,,,1,1,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,2,04-11-2010,04-11-2010,17:35:16,17:37:12,winter,Thursday,Relax,Wash_Dishes,Late afternoon
Wash_Dishes,,,,,,,17,142,108,,,18,,,,1,,6,,,,,,,,,,,,,,,,,,,18,04-11-2010,04-11-2010,17:37:24,17:55:21,winter,Thursday,Eating,Work,Late afternoon
Work,,,,,,,,,,,,,,,,,,,,,,,19,1,1,3,,,,,,,,,,,2,04-11-2010,04-11-2010,17:55:25,17:57:47,winter,Thursday,Wash_Dishes,Sleeping,Late afternoon
Sleeping,,269,29,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,05-11-2010,05-11-2010,00:00:11,04:18:05,winter,Friday,Work,Bed_to_Toilet, Morning
Bed_to_Toilet,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,05-11-2010,05-11-2010,04:18:09,04:20:50,winter,Friday,Sleeping,Sleeping, Morning
Sleeping,,19,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,05-11-2010,05-11-2010,04:21:04,07:48:11,winter,Friday,Bed_to_Toilet,Meal_Preparation,early Morning
Meal_Preparation,,,,,,,11,30,16,2,,2,,,,6,,3,,,2,,,4,,,,2,,,,,,,,,3,05-11-2010,05-11-2010,07:54:58,07:58:24,winter,Friday,Sleeping,Work,early Morning
Work,,,,,,,1,1,,,,,,,,2,,,,,,,17,5,7,22,,4,8,,,,,,,,2,05-11-2010,05-11-2010,07:58:49,08:01:00,winter,Friday,Meal_Preparation,Work,early Morning
Work,,,,,,,,,,,,,,,,,,,,,4,,75,1,11,30,,,88,,,,,,,,13,05-11-2010,05-11-2010,08:22:18,08:35:20,winter,Friday,Work,Work, Morning
Work,,,,1,1,,,,,,,,,,,,,,,,,,105,,4,58,4,,44,,,,,,,,21,05-11-2010,05-11-2010,08:35:50,08:57:19,winter,Friday,Work,Work, Morning
Work,,,,9,2,4,,,,,,,,,,,,,,,,,13,,,11,,,15,,,,,,,,1,05-11-2010,05-11-2010,09:04:06,09:05:15,winter,Friday,Work,Work, Morning
Work,,,,,,,,,,,,,,,,,,,,,,,27,,,18,,,13,,,,,,,,4,05-11-2010,05-11-2010,09:26:22,09:30:16,winter,Friday,Work,Relax, Morning
Relax,,,,,,,,,,,,,5,,,,,,,,,2,2,,,,,,,,,,,,,,2,05-11-2010,05-11-2010,09:35:09,09:37:03,winter,Friday,Work,Housekeeping, Morning
Housekeeping,,28,4,262,50,94,32,50,42,4,271,28,348,132,5,82,94,168,98,68,,186,56,50,20,24,4,38,8,20,62,10,2,,,,90,05-11-2010,05-11-2010,09:42:02,11:12:03,winter,Friday,Relax,Leave_Home, late Morning
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,2,2,6,2,4,1,2,,,,,,,,0,05-11-2010,05-11-2010,11:14:15,11:14:43,winter,Friday,Housekeeping,Enter_Home, late Morning
Enter_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,05-11-2010,05-11-2010,12:48:12,12:48:17,winter,Friday,Leave_Home,Leave_Home,Noon
Leave_Home,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,1,05-11-2010,05-11-2010,12:59:38,13:00:24,winter,Friday,Enter_Home,Enter_Home,Noon
Enter_Home,,,,,,,,,,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,1,05-11-2010,05-11-2010,13:00:33,13:01:23,winter,Friday,Leave_Home,Leave_Home,Noon
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,0,05-11-2010,05-11-2010,13:25:15,13:25:20,winter,Friday,Enter_Home,Enter_Home,Noon
Enter_Home,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,0,05-11-2010,05-11-2010,13:25:31,13:25:35,winter,Friday,Leave_Home,Work,Noon
Work,,,,,,,,,,,,,,,,,,,,,,,5,,1,3,,,,,,,,,,,3,05-11-2010,05-11-2010,13:27:35,13:30:09,winter,Friday,Enter_Home,Relax,Noon
Relax,,,,,,,,,,,4,,33,6,,,,,,,,,,,,,,,,,,,,,,,8,05-11-2010,05-11-2010,13:38:03,13:45:54,winter,Friday,Work,Leave_Home,Noon
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,,,,,,,,,,0,05-11-2010,05-11-2010,13:49:02,13:49:09,winter,Friday,Relax,Enter_Home,Noon
Enter_Home,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0,05-11-2010,05-11-2010,15:50:59,15:51:04,winter,Friday,Leave_Home,Leave_Home,afternoon
Leave_Home,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0,05-11-2010,05-11-2010,16:00:10,16:00:14,winter,Friday,Enter_Home,Enter_Home,Late afternoon
Enter_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,0,05-11-2010,05-11-2010,16:19:07,16:19:11,winter,Friday,Leave_Home,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,2,5,,3,,2,,,,,,1,,,,,,,,,,,,,,,,2,,,0,05-11-2010,05-11-2010,16:19:39,16:20:05,winter,Friday,Enter_Home,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,25,25,,,4,,,,,,,10,,,,,,,,,,,,,,,,,,,4,05-11-2010,05-11-2010,16:21:26,16:25:35,winter,Friday,Meal_Preparation,Eating,Late afternoon
Eating,,,,,,,1,1,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,4,05-11-2010,05-11-2010,16:25:44,16:29:14,winter,Friday,Meal_Preparation,Wash_Dishes,Late afternoon
Wash_Dishes,,,,,,,9,12,6,4,,4,,,,1,,1,,,,,,,,,,,,,,,,,,,1,05-11-2010,05-11-2010,16:29:31,16:30:21,winter,Friday,Eating,Leave_Home,Late afternoon
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,0,05-11-2010,05-11-2010,16:30:41,16:30:45,winter,Friday,Wash_Dishes,Enter_Home,Late afternoon
Enter_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,0,05-11-2010,05-11-2010,16:30:56,16:31:00,winter,Friday,Leave_Home,Work,Late afternoon
Work,,,,,,,,,,,,,,,,,,,,,,,35,1,2,8,,,,,,,,,,,18,05-11-2010,05-11-2010,22:20:34,22:38:24,winter,Friday,Enter_Home,Sleeping,Late Night
Sleeping,,229,28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,05-11-2010,06-11-2010,22:48:23,04:23:40,winter,Friday,Work,Bed_to_Toilet,Late Night
Bed_to_Toilet,,,,6,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,06-11-2010,06-11-2010,04:23:51,04:27:00,winter,Saturday,Sleeping,Sleeping, Morning
Sleeping,,29,12,12,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,270,06-11-2010,06-11-2010,04:27:35,08:57:50,winter,Saturday,Bed_to_Toilet,Meal_Preparation, Morning
Meal_Preparation,,,,,,,19,88,42,16,1,12,,,,,,4,,,,,,,,,,,,,,,,,,,10,06-11-2010,06-11-2010,09:09:44,09:19:15,winter,Saturday,Sleeping,Meal_Preparation, Morning
Meal_Preparation,,,,,,,11,66,48,8,,6,,,,,,1,,,,,,,,,,,,,,,,,,,7,06-11-2010,06-11-2010,09:21:11,09:28:19,winter,Saturday,Meal_Preparation,Eating, Morning
Eating,,,,,,,1,,,,2,,,,,,,19,,,,,,,,,,,,,,,,,,,9,06-11-2010,06-11-2010,09:28:20,09:37:41,winter,Saturday,Meal_Preparation,Wash_Dishes, Morning
Wash_Dishes,,,,,,,13,32,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,06-11-2010,06-11-2010,09:38:24,09:41:19,winter,Saturday,Eating,Work, Morning
Work,,,,,,,,,,,,,,,,,,,,,,,21,1,2,,,,,,,,,,,,2,06-11-2010,06-11-2010,10:28:16,10:30:40,winter,Saturday,Wash_Dishes,Housekeeping, late Morning
Housekeeping,,12,,116,22,38,16,12,,,81,10,2,5,4,19,6,16,14,12,,4,,18,4,,4,,,52,,,,,,,34,06-11-2010,06-11-2010,10:36:45,11:11:05,winter,Saturday,Work,Relax, late Morning
Relax,,,,,,,,,,,1,,55,7,,,,,,,,2,,,,,,,,,,,,,,,14,06-11-2010,06-11-2010,11:11:08,11:25:24,winter,Saturday,Housekeeping,Housekeeping, late Morning
Housekeeping,,,,14,8,8,32,32,18,,54,4,27,22,1,25,,38,12,14,2,6,,14,2,,2,8,,,2,,,,,,23,06-11-2010,06-11-2010,11:25:43,11:48:22,winter,Saturday,Relax,Meal_Preparation, late Morning
Meal_Preparation,,,,,,,5,8,12,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,06-11-2010,06-11-2010,11:55:16,11:56:11,winter,Saturday,Housekeeping,Meal_Preparation, late Morning
Meal_Preparation,,,,,,,19,48,18,12,1,20,,,,,,2,,,,,,,,,,,,,,,,,,,4,06-11-2010,06-11-2010,11:58:12,12:02:08,winter,Saturday,Meal_Preparation,Eating,Noon
Eating,,,,,,,,,,,1,,,,,1,,34,,,,,,,,,,,,,,,,,,,7,06-11-2010,06-11-2010,12:02:29,12:09:54,winter,Saturday,Meal_Preparation,Wash_Dishes,Noon
Wash_Dishes,,,,,,,11,12,2,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,2,06-11-2010,06-11-2010,12:10:00,12:11:58,winter,Saturday,Eating,Eating,Noon
Eating,,,,,,,4,,,,9,,,,,1,,71,,,,,,,,,,,,,,,,,,,13,06-11-2010,06-11-2010,12:35:51,12:49:00,winter,Saturday,Wash_Dishes,Leave_Home,Noon
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,06-11-2010,06-11-2010,13:01:52,13:01:56,winter,Saturday,Eating,Enter_Home,Noon
Enter_Home,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,0,06-11-2010,06-11-2010,16:59:11,16:59:22,winter,Saturday,Leave_Home,Leave_Home,Late afternoon
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,0,06-11-2010,06-11-2010,17:05:28,17:05:33,winter,Saturday,Enter_Home,Enter_Home,Late afternoon
Enter_Home,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,0,06-11-2010,06-11-2010,17:06:00,17:06:05,winter,Saturday,Leave_Home,Leave_Home,Late afternoon
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,06-11-2010,06-11-2010,17:07:53,17:07:58,winter,Saturday,Enter_Home,Enter_Home,Late afternoon
Enter_Home,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,0,06-11-2010,06-11-2010,17:34:42,17:34:47,winter,Saturday,Leave_Home,Relax,Late afternoon
Relax,,,,,,,,,,,16,,113,7,,1,,,,,,2,,,,,,,,,,,,,,,12,06-11-2010,06-11-2010,18:29:36,18:41:19,winter,Saturday,Enter_Home,Relax,Evening
Relax,,,,,,,,,,,5,,63,5,,,,,,,,,,,,,,,,,,,,,,,41,06-11-2010,06-11-2010,19:59:49,20:41:11,winter,Saturday,Relax,Relax,Night
Relax,,,,,,,,,,,,,13,2,,,,,,,,,,,,,,,,,,,,,,,7,06-11-2010,06-11-2010,20:46:42,20:54:02,winter,Saturday,Relax,Relax,Night
Relax,,,,,,,,,,,12,,59,10,,,2,,,,,2,,,,,,,,,,,,,,,86,06-11-2010,06-11-2010,21:01:03,22:27:07,winter,Saturday,Relax,Relax,Night
Relax,,,,,,,,,,,4,,31,6,,,,,,,,2,,,,,,,,,,,,,,,9,06-11-2010,06-11-2010,22:27:35,22:36:08,winter,Saturday,Relax,Relax,Late Night
Relax,,,,,,,,,,,3,,205,9,,,,,,,,2,,,,,,,,,,,,,,,40,06-11-2010,06-11-2010,22:46:35,23:26:55,winter,Saturday,Relax,Work,Late Night
Work,,,,,,,,,,,,,,,,,,,,,,,47,1,3,18,,,4,,,,,,,,24,06-11-2010,06-11-2010,23:28:33,23:52:56,winter,Saturday,Relax,Sleeping,Late Night
Sleeping,,127,2,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,07-11-2010,07-11-2010,00:02:39,00:34:47,winter,Sunday,Work,Bed_to_Toilet, Morning
Bed_to_Toilet,,,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,07-11-2010,07-11-2010,00:34:49,00:35:36,winter,Sunday,Sleeping,Sleeping, Morning
Sleeping,,49,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,07-11-2010,07-11-2010,00:36:18,03:43:08,winter,Sunday,Bed_to_Toilet,Bed_to_Toilet, Morning
Bed_to_Toilet,,,,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,07-11-2010,07-11-2010,03:43:20,03:46:24,winter,Sunday,Sleeping,Sleeping, Morning
Sleeping,,13,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,07-11-2010,07-11-2010,03:46:42,03:47:15,winter,Sunday,Bed_to_Toilet,Bed_to_Toilet, Morning
Bed_to_Toilet,,,,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,07-11-2010,07-11-2010,03:49:21,03:51:18,winter,Sunday,Sleeping,Sleeping, Morning
Sleeping,,109,48,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,07-11-2010,07-11-2010,03:51:22,07:34:58,winter,Sunday,Bed_to_Toilet,Meal_Preparation,early Morning
Meal_Preparation,,,,,,,3,18,8,4,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,2,07-11-2010,07-11-2010,07:35:44,07:37:14,winter,Sunday,Sleeping,Meal_Preparation,early Morning
Meal_Preparation,,,,,,,17,86,30,16,,10,,,,,,1,,,,,,,,,,,,,,,,,,,7,07-11-2010,07-11-2010,07:50:09,07:57:22,winter,Sunday,Meal_Preparation,Meal_Preparation,early Morning
Meal_Preparation,,,,,,,13,53,32,,,8,,,,,,5,,,,,,,,,,,,,,,,,,,6,07-11-2010,07-11-2010,08:00:38,08:06:12,winter,Sunday,Meal_Preparation,Eating, Morning
Eating,,,,,,,,,,,6,,,,,,,15,,,,,,,,,,,,,,,,,,,7,07-11-2010,07-11-2010,08:06:14,08:13:28,winter,Sunday,Meal_Preparation,Relax, Morning
Relax,,,,,,,,,,,1,,55,3,,,,,,,,,,,,,,,,,,,,,,,16,07-11-2010,07-11-2010,08:14:49,08:30:55,winter,Sunday,Eating,Relax, Morning
Relax,,,,,,,,,,,6,,37,5,,,1,,,,,,,,,,,,,,,,,,,,3,07-11-2010,07-11-2010,08:33:30,08:36:46,winter,Sunday,Relax,Work, Morning
Work,,,,,,,,,,,,,,,,,,,,,,,5,1,2,4,,,,,,,,,,,2,07-11-2010,07-11-2010,08:44:12,08:45:57,winter,Sunday,Relax,Relax, Morning
Relax,,,,,,,,,,,10,,129,12,,,47,,,,,323,,,,,,,,,,,,,,,84,07-11-2010,07-11-2010,10:31:45,11:55:26,winter,Sunday,Work,Meal_Preparation, late Morning
Meal_Preparation,,,,,,,7,24,6,4,,20,,,,1,,1,,,,,,,,,,,,,,,,,,,3,07-11-2010,07-11-2010,12:03:08,12:06:33,winter,Sunday,Relax,Eating,Noon
Eating,,,,,,,,,,,1,,,,,,,11,,,,,,,,,,,,,,,,,,,12,07-11-2010,07-11-2010,12:08:27,12:20:18,winter,Sunday,Meal_Preparation,Meal_Preparation,Noon
Meal_Preparation,,,,,,,15,24,8,2,2,6,,,,,,8,,,,,,,,,,,,,,,,,,,3,07-11-2010,07-11-2010,12:21:16,12:23:55,winter,Sunday,Eating,Eating,Noon
Eating,,,,,,,,,,,1,,,,,,,25,,,,,,,,,,,,,,,,,,,6,07-11-2010,07-11-2010,12:24:28,12:30:35,winter,Sunday,Meal_Preparation,Relax,Noon
Relax,,,,,,,,,,,4,,61,5,,,4,,,,,57,,,,,,,,,,,,,,,8,07-11-2010,07-11-2010,12:30:42,12:38:27,winter,Sunday,Eating,Eating,Noon
Eating,,,,,,,,,,,2,,1,2,,,,17,,,,,,,,,,,,,,,,,,,17,07-11-2010,07-11-2010,12:38:28,12:54:59,winter,Sunday,Relax,Relax,Noon
Relax,,,,,,,,,,,4,,53,8,,,,,,,,,,,,,,,,,,,,,,,27,07-11-2010,07-11-2010,13:46:11,14:12:53,winter,Sunday,Eating,Housekeeping,Noon
Housekeeping,,2,,4,,,2,,,,24,,,,15,7,,3,20,10,,,,6,,,,6,,,,,,,,,6,07-11-2010,07-11-2010,14:28:08,14:33:39,winter,Sunday,Relax,Work,afternoon
Work,,,,,,,,,,,,,,,,,,,,,,,15,,2,2,1,1,,,,,,,,,1,07-11-2010,07-11-2010,14:37:13,14:38:28,winter,Sunday,Housekeeping,Meal_Preparation,afternoon
Meal_Preparation,,,,,,,4,11,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,07-11-2010,07-11-2010,14:38:50,14:40:39,winter,Sunday,Work,Eating,afternoon
Eating,,,,,,,1,,,,4,,,2,,4,,11,,,,,,,,,,,,,,,,,,,2,07-11-2010,07-11-2010,14:40:40,14:42:50,winter,Sunday,Meal_Preparation,Relax,afternoon
Relax,,,,,,,,,,,4,,15,1,,,,,,,,,,,,,,,,,,,,,,,25,07-11-2010,07-11-2010,14:43:43,15:08:54,winter,Sunday,Eating,Eating,afternoon
Eating,,,,,,,1,,,,2,,,,,,,5,,,,,,,,,,,,,,,,,,,3,07-11-2010,07-11-2010,15:10:28,15:13:19,winter,Sunday,Relax,Meal_Preparation,afternoon
Meal_Preparation,,,,,,,3,12,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,07-11-2010,07-11-2010,15:40:58,15:41:59,winter,Sunday,Eating,Eating,afternoon
Eating,,,,,,,3,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,14,07-11-2010,07-11-2010,15:42:09,15:55:53,winter,Sunday,Meal_Preparation,Relax,afternoon
Relax,,,,,,,,,,,1,,8,3,,,,,,,,,,,,,,,,,,,,,,,8,07-11-2010,07-11-2010,16:01:50,16:09:34,winter,Sunday,Eating,Work,Late afternoon
Work,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,2,,,,,,,,2,07-11-2010,07-11-2010,16:09:56,16:11:51,winter,Sunday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,2,,29,6,,,,,,,,,,,,,,,,,,,,,,,7,07-11-2010,07-11-2010,16:14:12,16:21:41,winter,Sunday,Work,Relax,Late afternoon
Relax,,,,,,,,,,,1,,29,3,,,,,,,,,,,,,,,,,,,,,,,21,07-11-2010,07-11-2010,16:24:47,16:45:49,winter,Sunday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,3,,9,4,,,,,,,,,,,,,,,,,,,,,,,7,07-11-2010,07-11-2010,16:48:52,16:55:26,winter,Sunday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,2,,29,4,,,,,,,,,,,,,,,,,,,,,,,12,07-11-2010,07-11-2010,16:56:12,17:07:54,winter,Sunday,Relax,Eating,Late afternoon
Eating,,,,,,,,,,,1,,,1,,,,5,,,,,,,,,,,,,,,,,,,4,07-11-2010,07-11-2010,17:07:55,17:12:21,winter,Sunday,Relax,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,9,64,47,6,1,10,,,,1,,,,,,,,,,,,,,,,,,,,,7,07-11-2010,07-11-2010,17:19:51,17:27:09,winter,Sunday,Eating,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,19,8,8,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,1,07-11-2010,07-11-2010,17:29:13,17:30:24,winter,Sunday,Meal_Preparation,Eating,Late afternoon
Eating,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,10,07-11-2010,07-11-2010,17:30:27,17:40:45,winter,Sunday,Meal_Preparation,Wash_Dishes,Late afternoon
Wash_Dishes,,,,,,,7,48,34,,1,6,,,,,,1,,,,,,,,,,,,,,,,,,,6,07-11-2010,07-11-2010,17:40:51,17:46:24,winter,Sunday,Eating,Relax,Late afternoon
Relax,,,,,,,,,,,1,,71,7,,,,,,,,,,,,,,,,,,,,,,,28,07-11-2010,07-11-2010,17:47:05,18:15:27,winter,Sunday,Wash_Dishes,Relax,Late afternoon
Relax,,,,,,,,,,,7,,107,12,,,2,,,,,2,,,,,,,,,,,,,,,48,07-11-2010,07-11-2010,18:21:42,19:09:39,winter,Sunday,Relax,Relax,Evening
Relax,,,,,,,,,,,4,,21,4,,,,,,,,,,,,,,,,,,,,,,,19,07-11-2010,07-11-2010,19:19:24,19:37:57,winter,Sunday,Relax,Work,Evening
Work,,,,,,,,,,,,,,,,,,,,,,,29,1,1,16,,,2,,,,,,,,14,07-11-2010,07-11-2010,19:52:24,20:05:58,winter,Sunday,Relax,Eating,Evening
Eating,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,3,07-11-2010,07-11-2010,20:37:41,20:40:22,winter,Sunday,Work,Relax,Night
Relax,,,,,,,,,,,13,,267,13,,,,1,,,,4,,,,,,,,,,,,,,,68,07-11-2010,07-11-2010,20:40:41,21:48:14,winter,Sunday,Eating,Relax,Night
